iter	Accuracy_SumError	Accuracy_SumWeight	Logloss_SumError	Logloss_SumWeight
0	1773	2000	662.9673816	2000
1	1822	2000	484.5756346	2000
2	1851	2000	389.8542866	2000
3	1878	2000	329.3647359	2000
4	1885	2000	308.0266836	2000
5	1890	2000	297.6116185	2000
6	1885	2000	290.3359753	2000
7	1890	2000	290.2877718	2000
8	1891	2000	282.9773962	2000
9	1889	2000	275.6615868	2000
10	1891	2000	271.8165725	2000
11	1889	2000	267.4628961	2000
12	1889	2000	265.7942012	2000
13	1889	2000	263.1143998	2000
14	1894	2000	259.3749483	2000
15	1892	2000	256.9555958	2000
16	1893	2000	251.8280751	2000
17	1894	2000	249.2044463	2000
18	1896	2000	248.5975497	2000
19	1898	2000	248.5515928	2000
20	1897	2000	248.2511661	2000
21	1897	2000	248.254904	2000
22	1891	2000	249.7224285	2000
23	1893	2000	248.9083668	2000
24	1894	2000	243.7744229	2000
25	1893	2000	244.2815585	2000
26	1897	2000	244.5695916	2000
27	1897	2000	239.6020848	2000
28	1897	2000	241.2117886	2000
29	1901	2000	241.8447877	2000
30	1898	2000	243.3331892	2000
31	1901	2000	242.8938956	2000
32	1899	2000	243.9931242	2000
33	1897	2000	244.5590327	2000
34	1895	2000	242.8681296	2000
35	1896	2000	242.0014172	2000
36	1899	2000	241.5105033	2000
37	1902	2000	237.6381439	2000
38	1902	2000	237.6838469	2000
39	1904	2000	238.4345845	2000
40	1904	2000	237.1539595	2000
41	1905	2000	236.7741996	2000
42	1905	2000	237.7646534	2000
43	1900	2000	238.0963807	2000
44	1898	2000	237.7793965	2000
45	1900	2000	236.696685	2000
46	1896	2000	237.6822354	2000
47	1895	2000	239.1718067	2000
48	1891	2000	240.4793445	2000
49	1890	2000	238.5147482	2000
50	1895	2000	230.9498234	2000
51	1894	2000	230.5795766	2000
52	1897	2000	229.1636444	2000
53	1897	2000	229.3893413	2000
54	1897	2000	227.6986796	2000
55	1899	2000	226.3628979	2000
56	1902	2000	225.0175102	2000
57	1903	2000	224.107882	2000
58	1901	2000	224.4506975	2000
59	1900	2000	225.1747332	2000
60	1898	2000	225.7669404	2000
61	1901	2000	224.7484983	2000
62	1900	2000	226.5535571	2000
63	1902	2000	226.3369874	2000
64	1901	2000	226.4282406	2000
65	1899	2000	228.5856656	2000
66	1899	2000	227.8551569	2000
67	1900	2000	227.5655509	2000
68	1902	2000	225.4657929	2000
69	1902	2000	227.5089898	2000
70	1903	2000	226.4328138	2000
71	1903	2000	226.187555	2000
72	1902	2000	225.0400009	2000
73	1901	2000	224.0064013	2000
74	1902	2000	222.5710276	2000
75	1902	2000	221.5208995	2000
76	1902	2000	221.528193	2000
77	1900	2000	219.9390606	2000
78	1900	2000	220.4930404	2000
79	1902	2000	218.690312	2000
80	1900	2000	219.1650429	2000
81	1903	2000	217.4269872	2000
82	1905	2000	217.2394597	2000
