iter	Passed	Remaining
0	39	19737
1	82	20569
2	115	19162
3	157	19526
4	190	18888
5	225	18567
6	264	18654
7	298	18376
8	333	18177
9	365	17920
10	398	17703
11	433	17623
12	467	17505
13	503	17461
14	541	17521
15	582	17614
16	619	17611
17	657	17603
18	692	17535
19	729	17515
20	763	17422
21	788	17130
22	822	17066
23	857	17000
24	900	17108
25	934	17039
26	970	16995
27	1006	16959
28	1043	16950
29	1081	16936
30	1121	16961
31	1153	16867
32	1190	16841
33	1229	16850
34	1270	16877
35	1308	16863
36	1345	16835
37	1378	16762
38	1408	16650
39	1446	16638
40	1486	16640
41	1525	16639
42	1564	16631
43	1602	16603
44	1639	16572
45	1676	16545
46	1714	16521
47	1751	16492
48	1786	16442
49	1825	16431
50	1865	16420
51	1902	16389
52	1942	16386
53	1995	16482
54	2036	16473
55	2080	16494
56	2123	16503
57	2190	16694
58	2257	16872
59	2298	16857
60	2337	16822
61	2376	16792
62	2415	16752
63	2456	16738
64	2494	16693
65	2539	16696
66	2583	16699
67	2624	16671
68	2682	16756
69	2732	16782
70	2816	17015
71	2875	17094
72	2958	17306
73	3022	17401
74	3108	17612
75	3147	17560
76	3184	17495
77	3234	17499
78	3271	17432
79	3339	17532
80	3388	17528
81	3429	17482
82	3458	17378
83	3502	17346
84	3541	17289
85	3573	17202
86	3611	17143
87	3650	17091
88	3688	17035
89	3727	16981
90	3758	16894
91	3789	16803
92	3815	16700
93	3846	16614
94	3876	16527
95	3905	16436
96	3936	16356
97	3964	16264
98	3994	16178
99	4023	16092
100	4053	16011
101	4082	15928
102	4135	15940
103	4170	15880
104	4205	15820
105	4237	15752
106	4271	15689
107	4306	15629
108	4338	15561
109	4370	15496
110	4403	15430
111	4433	15360
112	4465	15292
113	4498	15232
114	4533	15178
115	4572	15135
116	4610	15091
117	4649	15053
118	4690	15017
119	4722	14954
120	4754	14890
121	4786	14830
122	4816	14763
123	4848	14701
124	4880	14642
125	4911	14580
126	4941	14513
127	4972	14451
128	5002	14386
129	5034	14328
130	5062	14260
131	5093	14201
132	5121	14133
133	5164	14105
134	5195	14046
135	5223	13979
136	5251	13913
137	5279	13848
138	5308	13786
139	5337	13724
140	5363	13656
141	5394	13600
142	5423	13540
143	5451	13478
144	5494	13451
145	5525	13396
146	5555	13341
147	5588	13292
148	5629	13260
149	5665	13218
150	5703	13183
151	5736	13134
152	5765	13075
153	5795	13020
154	5825	12965
155	5854	12908
156	5882	12851
157	5910	12792
158	5938	12737
159	5967	12680
160	5996	12627
161	6025	12571
162	6062	12534
163	6101	12501
164	6129	12444
165	6157	12388
166	6200	12363
167	6227	12307
168	6253	12247
169	6282	12195
170	6313	12146
171	6341	12094
172	6369	12040
173	6397	11986
174	6424	11932
175	6451	11877
176	6480	11826
177	6507	11772
178	6536	11721
179	6562	11666
180	6589	11614
181	6625	11576
182	6665	11546
183	6702	11511
184	6739	11475
185	6770	11429
186	6799	11380
187	6828	11332
188	6856	11282
189	6885	11233
190	6911	11181
191	6939	11132
192	6966	11080
193	6994	11032
194	7023	10985
195	7051	10937
196	7083	10894
197	7110	10844
198	7139	10798
199	7168	10752
200	7199	10709
201	7245	10688
202	7281	10652
203	7311	10608
204	7340	10562
205	7368	10516
206	7397	10470
207	7425	10423
208	7453	10378
209	7480	10329
210	7509	10285
211	7538	10241
212	7566	10194
213	7593	10148
214	7623	10105
215	7654	10064
216	7690	10030
217	7732	10002
218	7771	9971
219	7811	9941
220	7839	9896
221	7865	9849
222	7889	9800
223	7917	9755
224	7945	9711
225	7971	9664
226	7997	9618
227	8026	9575
228	8054	9532
229	8089	9495
230	8116	9452
231	8143	9406
232	8169	9361
233	8204	9326
234	8234	9286
235	8284	9267
236	8309	9220
237	8337	9178
238	8363	9133
239	8390	9089
240	8418	9046
241	8448	9006
242	8473	8961
243	8498	8916
244	8525	8873
245	8554	8832
246	8581	8790
247	8609	8748
248	8637	8707
249	8665	8665
250	8698	8629
251	8733	8595
252	8772	8564
253	8810	8533
254	8843	8496
255	8870	8455
256	8899	8415
257	8927	8373
258	8954	8332
259	8980	8289
260	9009	8249
261	9038	8210
262	9069	8173
263	9097	8132
264	9125	8092
265	9154	8052
266	9182	8013
267	9215	7977
268	9243	7937
269	9270	7897
270	9322	7877
271	9348	7836
272	9378	7797
273	9404	7757
274	9433	7717
275	9460	7678
276	9487	7638
277	9514	7597
278	9543	7559
279	9568	7518
280	9596	7478
281	9623	7439
282	9649	7398
283	9673	7357
284	9698	7316
285	9729	7280
286	9768	7249
287	9802	7215
288	9837	7182
289	9874	7150
290	9907	7116
291	9945	7084
292	9991	7059
293	10040	7035
294	10082	7006
295	10111	6968
296	10136	6928
297	10182	6902
298	10210	6863
299	10234	6822
300	10258	6782
301	10284	6742
302	10311	6704
303	10366	6683
304	10391	6643
305	10419	6606
306	10460	6576
307	10499	6545
308	10541	6516
309	10577	6483
310	10610	6448
311	10649	6417
312	10684	6383
313	10719	6350
314	10751	6314
315	10787	6281
316	10832	6253
317	10870	6221
318	10906	6188
319	10946	6157
320	10980	6123
321	11009	6086
322	11041	6050
323	11077	6017
324	11103	5978
325	11131	5941
326	11158	5903
327	11185	5865
328	11211	5827
329	11237	5789
330	11264	5751
331	11292	5714
332	11320	5677
333	11348	5640
334	11403	5616
335	11432	5579
336	11459	5542
337	11487	5505
338	11512	5467
339	11539	5430
340	11568	5393
341	11594	5356
342	11622	5320
343	11649	5283
344	11681	5248
345	11706	5210
346	11737	5175
347	11772	5141
348	11798	5104
349	11830	5070
350	11868	5038
351	11904	5005
352	11939	4971
353	11977	4939
354	12005	4903
355	12031	4866
356	12063	4832
357	12092	4796
358	12119	4760
359	12146	4723
360	12174	4687
361	12200	4651
362	12227	4614
363	12253	4578
364	12279	4541
365	12306	4505
366	12332	4469
367	12359	4433
368	12388	4398
369	12443	4372
370	12491	4343
371	12532	4312
