iter	Passed	Remaining
0	35	17665
1	71	17809
2	104	17291
3	149	18507
4	180	17875
5	209	17247
6	238	16782
7	276	16992
8	313	17116
9	352	17287
10	382	16997
11	412	16792
12	446	16710
13	479	16645
14	512	16582
15	545	16489
16	580	16490
17	611	16382
18	641	16231
19	673	16171
20	706	16121
21	729	15841
22	761	15794
23	795	15776
24	833	15835
25	869	15854
26	904	15838
27	937	15802
28	970	15767
29	1006	15770
30	1041	15752
31	1071	15663
32	1105	15637
33	1143	15666
34	1174	15604
35	1208	15577
36	1241	15540
37	1274	15495
38	1303	15413
39	1341	15427
40	1377	15424
41	1413	15412
42	1446	15370
43	1482	15359
44	1525	15425
45	1560	15396
46	1592	15352
47	1643	15480
48	1693	15584
49	1739	15656
50	1774	15621
51	1806	15562
52	1836	15490
53	1866	15415
54	1895	15332
55	1922	15244
56	1951	15166
57	1980	15090
58	2008	15014
59	2037	14939
60	2067	14882
61	2098	14822
62	2129	14771
63	2157	14698
64	2190	14659
65	2224	14625
66	2254	14569
67	2282	14500
68	2311	14441
69	2344	14398
70	2375	14352
71	2405	14297
72	2437	14257
73	2466	14198
74	2496	14144
75	2526	14094
76	2557	14051
77	2590	14013
78	2620	13964
79	2666	14001
80	2702	13978
81	2733	13935
82	2771	13925
83	2804	13889
84	2835	13842
85	2864	13787
86	2893	13737
87	2921	13676
88	2948	13618
89	2978	13567
90	3007	13518
91	3036	13465
92	3063	13406
93	3094	13365
94	3123	13317
95	3152	13267
96	3182	13221
97	3212	13178
98	3242	13134
99	3271	13086
100	3303	13050
101	3331	12998
102	3360	12954
103	3397	12937
104	3431	12909
105	3461	12866
106	3491	12822
107	3528	12807
108	3569	12805
109	3600	12764
110	3630	12724
111	3660	12680
112	3689	12634
113	3716	12584
114	3750	12555
115	3780	12513
116	3809	12469
117	3837	12424
118	3866	12378
119	3894	12332
120	3923	12290
121	3953	12249
122	3986	12218
123	4019	12188
124	4051	12155
125	4083	12120
126	4111	12075
127	4141	12034
128	4170	11993
129	4197	11945
130	4226	11905
131	4255	11864
132	4286	11828
133	4324	11810
134	4359	11785
135	4391	11754
136	4429	11737
137	4468	11720
138	4504	11697
139	4538	11671
140	4578	11657
141	4620	11648
142	4657	11628
143	4694	11605
144	4732	11586
145	4772	11570
146	4806	11543
147	4843	11519
148	4877	11489
149	4912	11462
150	4945	11430
151	4974	11389
152	5002	11344
153	5030	11302
154	5060	11263
155	5092	11229
156	5125	11197
157	5157	11163
158	5188	11127
159	5217	11086
160	5247	11048
161	5275	11007
162	5305	10968
163	5333	10927
164	5366	10894
165	5394	10853
166	5424	10817
167	5452	10775
168	5483	10739
169	5512	10701
170	5545	10670
171	5577	10636
172	5606	10597
173	5635	10559
174	5665	10522
175	5698	10489
176	5730	10457
177	5758	10416
178	5786	10377
179	5813	10334
180	5840	10294
181	5869	10255
182	5898	10216
183	5926	10178
184	5952	10136
185	5979	10094
186	6014	10066
187	6044	10032
188	6074	9995
189	6102	9957
190	6128	9914
191	6158	9879
192	6184	9836
193	6213	9800
194	6241	9762
195	6272	9729
196	6305	9698
197	6332	9658
198	6366	9629
199	6399	9598
200	6428	9563
201	6457	9525
202	6484	9487
203	6513	9450
204	6542	9415
205	6571	9378
206	6600	9343
207	6628	9305
208	6658	9271
209	6702	9255
210	6733	9223
211	6763	9187
212	6790	9150
213	6820	9115
214	6847	9076
215	6876	9040
216	6905	9005
217	6932	8967
218	6961	8932
219	6989	8895
220	7017	8858
221	7047	8825
222	7073	8786
223	7104	8753
224	7135	8721
225	7161	8683
226	7187	8644
227	7218	8611
228	7246	8575
229	7274	8540
230	7302	8503
231	7328	8466
232	7360	8434
233	7390	8400
234	7418	8364
235	7447	8330
236	7473	8293
237	7502	8259
238	7529	8222
239	7561	8191
240	7608	8176
241	7660	8167
242	7710	8155
243	7752	8133
244	7782	8099
245	7812	8066
246	7838	8028
247	7866	7993
248	7894	7957
249	7923	7923
250	7952	7889
251	7979	7852
252	8010	7820
253	8038	7785
254	8066	7749
255	8098	7718
256	8129	7687
257	8163	7657
258	8194	7624
259	8220	7588
260	8249	7554
261	8278	7520
262	8309	7488
263	8352	7466
264	8402	7450
265	8454	7437
266	8502	7419
267	8552	7403
268	8592	7378
269	8619	7342
270	8650	7309
271	8677	7273
272	8705	7238
273	8733	7203
274	8761	7168
275	8790	7134
276	8818	7099
277	8846	7064
278	8875	7030
279	8901	6993
280	8931	6960
281	8961	6927
282	8986	6891
283	9011	6853
284	9036	6816
285	9065	6783
286	9094	6749
287	9122	6714
288	9148	6679
289	9173	6643
290	9199	6607
291	9225	6571
292	9252	6536
293	9285	6505
294	9310	6470
295	9342	6438
296	9367	6402
297	9397	6369
298	9424	6335
299	9452	6301
300	9476	6265
301	9505	6232
302	9536	6200
303	9563	6165
304	9590	6131
305	9617	6097
306	9644	6063
307	9672	6029
308	9707	6000
309	9755	5978
310	9786	5947
311	9814	5914
312	9839	5878
313	9870	5846
314	9898	5813
315	9933	5783
316	9963	5751
317	9994	5720
318	10022	5686
319	10051	5653
320	10080	5620
321	10105	5586
322	10132	5552
323	10161	5519
324	10187	5485
325	10216	5452
326	10245	5420
327	10272	5387
328	10300	5353
329	10331	5322
330	10358	5288
331	10388	5256
332	10426	5229
333	10464	5201
334	10494	5168
335	10520	5134
336	10548	5101
337	10576	5068
338	10600	5034
339	10628	5001
340	10656	4968
341	10683	4935
342	10713	4903
343	10742	4871
344	10771	4839
345	10796	4805
346	10826	4773
347	10855	4741
348	10882	4708
349	10912	4676
350	10939	4643
351	10966	4611
352	10994	4578
353	11022	4545
354	11049	4513
355	11077	4480
356	11111	4450
357	11146	4421
358	11178	4390
359	11205	4357
360	11234	4325
361	11260	4292
362	11287	4259
363	11316	4227
364	11345	4196
365	11372	4163
366	11398	4130
367	11425	4098
368	11458	4068
369	11489	4036
370	11519	4005
371	11552	3975
372	11578	3942
373	11609	3911
374	11640	3880
375	11669	3848
376	11698	3816
377	11728	3785
378	11762	3755
379	11791	3723
380	11823	3693
381	11853	3661
382	11882	3629
383	11907	3596
384	11936	3565
385	11962	3532
386	11985	3499
387	12010	3467
388	12035	3434
389	12061	3401
390	12091	3370
391	12115	3338
392	12140	3305
393	12166	3273
394	12192	3241
395	12229	3211
396	12270	3183
397	12326	3158
398	12371	3131
399	12409	3102
400	12446	3072
401	12480	3042
402	12516	3012
403	12543	2980
404	12569	2948
405	12594	2915
406	12621	2884
407	12646	2851
408	12681	2821
409	12722	2792
410	12751	2761
411	12780	2729
412	12807	2697
413	12835	2666
414	12874	2636
415	12900	2604
416	12925	2572
417	12950	2540
418	12976	2508
419	13001	2476
420	13026	2444
421	13053	2412
422	13087	2382
423	13118	2351
424	13147	2320
425	13174	2288
426	13199	2256
427	13227	2225
428	13256	2193
429	13284	2162
430	13313	2131
431	13340	2099
432	13366	2068
433	13393	2036
434	13419	2005
435	13445	1973
436	13475	1942
437	13505	1911
438	13538	1881
439	13567	1850
440	13595	1818
441	13621	1787
442	13650	1756
443	13679	1725
444	13705	1693
445	13733	1662
446	13762	1631
447	13800	1601
448	13831	1571
449	13860	1540
450	13888	1508
451	13918	1478
452	13943	1446
453	13967	1415
454	13992	1383
455	14018	1352
456	14043	1321
457	14068	1290
458	14097	1259
459	14128	1228
460	14156	1197
461	14183	1166
462	14213	1135
463	14241	1104
464	14267	1073
465	14297	1043
466	14326	1012
467	14352	981
468	14380	950
469	14405	919
470	14430	888
471	14457	857
472	14483	826
473	14508	795
474	14534	764
475	14560	734
476	14585	703
477	14610	672
478	14635	641
479	14661	610
480	14686	580
481	14712	549
482	14737	518
483	14765	488
484	14793	457
485	14818	426
486	14844	396
487	14870	365
488	14895	335
489	14920	304
490	14948	273
491	14974	243
492	15000	212
493	15026	182
494	15052	152
495	15078	121
496	15104	91
497	15128	60
498	15155	30
499	15181	0
