iter	RMSE_SumError	RMSE_SumWeight	MAE_SumError	MAE_SumWeight	MAPE_SumError	MAPE_SumWeight
0	2.92236657e+10	2000	5808634.591	2000	3638.075831	2000
1	2.660083378e+10	2000	5514265.679	2000	3454.39201	2000
2	2.429810961e+10	2000	5237094.381	2000	3276.115815	2000
3	2.221003058e+10	2000	4980818.862	2000	3109.670665	2000
4	2.03791129e+10	2000	4747433.9	2000	2956.282446	2000
5	1.871287251e+10	2000	4523538.276	2000	2809.013892	2000
6	1.725961446e+10	2000	4321319.722	2000	2677.388471	2000
7	1.596816036e+10	2000	4138025.642	2000	2549.711285	2000
8	1.477184229e+10	2000	3953397.599	2000	2435.705419	2000
9	1.369785228e+10	2000	3783090.407	2000	2329.501664	2000
10	1.255473927e+10	2000	3604392.766	2000	2209.893703	2000
11	1.147673215e+10	2000	3434203.907	2000	2099.874078	2000
12	1.064166442e+10	2000	3290208.219	2000	2000.157982	2000
13	9793030116	2000	3143437.717	2000	1913.714544	2000
14	9062237507	2000	3012967.558	2000	1838.334703	2000
15	8449154470	2000	2891963.794	2000	1753.73868	2000
16	7822881288	2000	2768456.994	2000	1665.819027	2000
17	7203211483	2000	2650209.941	2000	1601.191052	2000
18	6642272880	2000	2538250.379	2000	1538.3639	2000
19	6215926843	2000	2442157.742	2000	1465.818823	2000
20	5795221995	2000	2353535.469	2000	1414.729469	2000
21	5377180562	2000	2258082.086	2000	1359.41449	2000
22	5060465458	2000	2185048.56	2000	1313.632778	2000
23	4724473987	2000	2107481.338	2000	1253.253694	2000
24	4445651864	2000	2030274.592	2000	1204.32269	2000
25	4138940177	2000	1951054.444	2000	1151.025631	2000
26	3894567590	2000	1881233.542	2000	1108.212505	2000
27	3678079051	2000	1828117.358	2000	1080.685675	2000
28	3471965056	2000	1769942.417	2000	1046.439403	2000
29	3296654144	2000	1712480.01	2000	1003.518132	2000
30	3148027760	2000	1664189.887	2000	960.9084689	2000
31	2978362864	2000	1608679.815	2000	922.3162626	2000
32	2833756202	2000	1562688.504	2000	892.2361855	2000
33	2682351707	2000	1511134.141	2000	852.0009022	2000
34	2555881536	2000	1462610.019	2000	814.2444146	2000
35	2451237520	2000	1424450.419	2000	788.5186384	2000
36	2386412244	2000	1400460.9	2000	774.7323385	2000
37	2286455988	2000	1357712.635	2000	741.0625494	2000
38	2205907085	2000	1326260.222	2000	719.8363635	2000
39	2115815060	2000	1294459.861	2000	694.5085189	2000
40	2045483569	2000	1263176.8	2000	666.683011	2000
41	1982241516	2000	1235121.429	2000	643.599101	2000
42	1907303993	2000	1201480.62	2000	621.0984074	2000
43	1864659139	2000	1176702.92	2000	597.5328479	2000
44	1811039610	2000	1147955.888	2000	574.0900367	2000
45	1767157866	2000	1126304.431	2000	554.2187831	2000
46	1721433122	2000	1102244.012	2000	534.01258	2000
47	1678481151	2000	1084310.468	2000	517.6420337	2000
48	1631287597	2000	1060731.941	2000	501.1359476	2000
49	1593864811	2000	1045399.107	2000	492.2304781	2000
50	1559435695	2000	1025885.818	2000	475.2220428	2000
51	1519268247	2000	1012219.057	2000	467.5964761	2000
52	1484402605	2000	999157.2267	2000	457.3524938	2000
53	1446457200	2000	980037.3752	2000	441.7249285	2000
54	1410906295	2000	964522.5063	2000	431.2502022	2000
55	1382550782	2000	948790.4099	2000	419.759716	2000
56	1365523944	2000	937265.1926	2000	407.7115061	2000
57	1340513456	2000	924711.8212	2000	396.9060617	2000
58	1324007768	2000	917552.1028	2000	392.7966152	2000
59	1302741628	2000	906765.7638	2000	383.3981515	2000
60	1277568471	2000	896283.8395	2000	373.2168808	2000
