iter	Passed	Remaining
0	3	3553
1	6	3394
2	9	3291
3	13	3242
4	16	3194
5	19	3187
6	22	3162
7	25	3158
8	28	3151
9	36	3575
10	43	3910
11	49	4040
12	52	3954
13	59	4220
14	68	4486
15	74	4555
16	77	4481
17	82	4485
18	86	4483
19	91	4500
20	97	4525
21	100	4449
22	105	4460
23	108	4392
24	112	4398
25	115	4342
26	119	4288
27	122	4236
28	126	4228
29	129	4195
30	132	4156
31	136	4129
32	142	4167
33	145	4138
34	148	4100
35	155	4162
36	160	4168
37	166	4209
38	170	4208
39	175	4203
40	178	4170
41	182	4155
42	185	4122
43	189	4125
44	192	4093
45	195	4063
46	198	4033
47	202	4016
48	205	3994
49	210	3998
50	222	4137
51	227	4151
52	230	4123
53	234	4102
54	237	4079
55	241	4068
56	244	4043
57	248	4042
58	255	4078
59	265	4165
60	275	4236
61	282	4268
62	285	4240
63	295	4318
64	301	4333
65	312	4417
66	320	4468
67	328	4502
68	339	4582
69	347	4613
70	351	4593
71	359	4627
72	362	4601
73	365	4572
74	368	4546
75	371	4521
76	374	4491
77	377	4465
78	380	4440
79	383	4414
80	386	4390
81	390	4366
82	396	4382
83	401	4376
84	406	4380
85	410	4364
86	413	4341
87	418	4336
88	426	4361
89	433	4386
90	438	4376
91	444	4388
92	449	4381
93	456	4402
94	464	4426
95	472	4445
96	479	4462
97	486	4473
98	493	4488
99	501	4509
100	508	4527
101	511	4505
102	514	4483
103	517	4461
104	521	4441
105	524	4421
106	527	4400
107	530	4382
108	537	4396
109	545	4411
110	548	4391
111	551	4371
112	554	4352
113	558	4339
114	561	4321
115	565	4312
116	568	4294
117	571	4274
118	574	4256
119	578	4242
120	586	4257
121	593	4270
122	600	4284
123	604	4267
124	607	4250
125	612	4248
126	618	4253
127	621	4236
128	625	4220
129	631	4228
130	634	4211
131	637	4194
132	640	4177
133	643	4161
134	648	4152
135	651	4136
136	654	4120
137	657	4105
138	660	4089
139	663	4074
140	666	4059
141	670	4052
142	674	4040
143	677	4026
144	684	4036
145	691	4047
146	699	4059
147	705	4062
148	709	4053
149	712	4040
150	716	4025
151	719	4011
152	722	3998
153	725	3986
154	728	3973
155	731	3959
156	735	3946
157	738	3933
158	742	3927
159	750	3940
160	756	3943
161	763	3948
162	767	3941
163	773	3940
164	777	3933
165	782	3933
166	788	3931
167	795	3940
168	802	3945
169	805	3933
170	808	3920
171	811	3907
172	814	3894
173	818	3884
174	821	3872
175	824	3859
176	827	3846
177	830	3833
178	836	3838
179	844	3848
180	849	3844
181	854	3839
182	861	3847
183	866	3841
184	869	3829
185	872	3817
186	875	3805
187	878	3795
188	886	3801
189	893	3809
190	899	3808
191	906	3815
192	922	3857
193	930	3864
194	938	3874
195	946	3880
196	954	3889
197	967	3919
198	972	3915
199	977	3909
200	982	3905
201	985	3893
202	989	3884
203	992	3872
204	995	3860
205	998	3848
206	1002	3840
207	1009	3843
208	1014	3839
209	1024	3854
210	1029	3849
211	1039	3863
212	1047	3871
213	1053	3869
214	1058	3866
215	1069	3880
216	1083	3910
217	1091	3917
218	1096	3910
219	1099	3898
220	1105	3896
221	1113	3901
222	1120	3903
223	1125	3899
224	1131	3896
225	1134	3885
226	1138	3875
227	1143	3872
228	1146	3861
229	1149	3849
230	1152	3837
231	1156	3827
232	1159	3816
233	1162	3805
234	1165	3794
235	1168	3782
236	1174	3779
237	1181	3782
238	1187	3781
239	1190	3771
240	1193	3760
241	1196	3748
242	1202	3744
243	1207	3741
244	1216	3747
245	1223	3749
246	1230	3751
247	1239	3757
248	1242	3746
249	1245	3735
250	1249	3727
251	1252	3716
252	1256	3710
253	1263	3710
254	1267	3702
255	1270	3692
256	1273	3681
257	1276	3670
258	1281	3667
259	1286	3662
260	1289	3652
261	1292	3641
262	1299	3642
263	1304	3637
264	1310	3634
265	1317	3636
266	1325	3638
267	1335	3648
268	1346	3658
269	1354	3661
270	1359	3656
271	1361	3643
272	1364	3633
273	1368	3626
274	1371	3617
275	1376	3611
276	1383	3610
277	1387	3602
278	1393	3600
279	1396	3589
280	1399	3579
281	1402	3570
282	1408	3568
283	1415	3568
284	1419	3561
285	1422	3552
286	1429	3550
287	1433	3542
288	1440	3542
289	1445	3539
290	1451	3535
291	1454	3525
292	1457	3516
293	1460	3506
294	1463	3498
295	1466	3488
296	1469	3479
297	1473	3469
298	1476	3460
299	1480	3454
300	1483	3445
301	1486	3435
302	1489	3427
303	1492	3418
304	1496	3408
305	1499	3399
306	1501	3390
307	1504	3380
308	1508	3374
309	1513	3368
310	1516	3359
311	1519	3350
312	1522	3341
313	1527	3337
314	1530	3328
315	1533	3319
316	1536	3310
317	1541	3305
318	1547	3304
319	1556	3307
320	1564	3308
321	1569	3304
322	1572	3296
323	1577	3291
324	1582	3286
325	1587	3281
326	1591	3275
327	1598	3275
328	1603	3270
329	1609	3268
330	1617	3268
331	1623	3267
332	1626	3258
333	1629	3249
334	1634	3244
335	1637	3235
336	1640	3227
337	1642	3217
338	1645	3209
339	1650	3203
340	1656	3201
341	1659	3193
342	1664	3187
343	1669	3183
344	1672	3175
345	1675	3166
346	1679	3160
347	1682	3152
348	1685	3143
349	1688	3135
350	1691	3127
351	1695	3121
352	1697	3111
353	1700	3103
354	1704	3097
355	1712	3098
356	1717	3093
357	1720	3084
358	1724	3078
359	1728	3072
360	1731	3065
361	1736	3059
362	1740	3054
363	1744	3048
364	1748	3042
365	1756	3043
366	1763	3042
367	1768	3036
368	1775	3036
369	1783	3036
370	1786	3028
371	1789	3020
372	1792	3012
373	1795	3006
374	1801	3001
375	1807	2999
376	1813	2997
377	1820	2995
378	1827	2994
379	1834	2993
380	1837	2985
381	1840	2977
382	1843	2969
383	1846	2962
384	1849	2954
385	1853	2948
386	1858	2943
387	1865	2942
388	1873	2942
389	1876	2934
390	1878	2926
391	1882	2920
392	1885	2912
393	1888	2904
394	1891	2897
395	1895	2891
396	1900	2886
397	1902	2878
398	1909	2876
399	1914	2872
400	1917	2864
401	1920	2857
402	1923	2849
403	1926	2842
404	1930	2835
405	1933	2828
406	1935	2820
407	1938	2813
408	1941	2805
409	1944	2798
410	1951	2797
411	1958	2795
412	1962	2789
413	1966	2783
414	1969	2776
415	1972	2769
416	1975	2762
417	1978	2755
418	1981	2747
419	1984	2741
420	1988	2735
421	1991	2728
422	1995	2721
423	1998	2714
424	2001	2707
425	2004	2700
426	2006	2693
427	2010	2686
428	2016	2684
429	2019	2677
430	2022	2670
431	2027	2666
432	2035	2665
433	2044	2665
434	2049	2661
435	2052	2654
436	2056	2649
437	2064	2648
438	2071	2647
439	2075	2641
440	2080	2637
441	2087	2634
442	2091	2629
