iter	RMSE	MAE	MAPE	R2
0	3805.102757	2883.252603	1.790270982	0.08214849631
1	3647.468725	2751.401936	1.70813306	0.1566209698
2	3499.273028	2629.895136	1.629577899	0.2237612776
3	3360.450851	2510.639592	1.560992746	0.2841290469
4	3232.383471	2408.371572	1.493234481	0.3376532654
5	3107.906701	2303.536448	1.423760626	0.3876840239
6	2991.152068	2203.892582	1.363747347	0.4328255866
7	2879.36825	2110.579988	1.303587637	0.4744257634
8	2778.260734	2025.735625	1.245870614	0.5106882476
9	2678.885173	1942.935257	1.1897704	0.5450665798
10	2586.550169	1865.508533	1.139420935	0.575887124
11	2501.266701	1793.71186	1.094806813	0.6033936639
12	2423.296606	1727.111369	1.05286007	0.6277344969
13	2345.637472	1663.252755	1.0071896	0.6512120864
14	2277.791988	1605.984416	0.9682295252	0.6710970512
15	2210.458456	1551.707399	0.9290154315	0.6902549612
16	2146.771777	1500.747872	0.8899119964	0.7078462944
17	2087.058289	1452.486194	0.8532956747	0.723873046
18	2034.916472	1410.542378	0.8250120983	0.7374978772
19	1983.655929	1368.678772	0.7915199463	0.7505564179
20	1936.955724	1329.537407	0.7610045313	0.7621632115
21	1893.773778	1292.994757	0.7322328308	0.7726495371
22	1853.09495	1258.730076	0.702952079	0.7823117489
23	1813.830608	1226.447148	0.6763934202	0.7914390015
24	1777.731074	1195.8971	0.6512482444	0.7996581072
25	1744.709354	1168.43531	0.6283313674	0.8070317653
26	1715.714411	1144.024034	0.6084085673	0.8133922642
27	1687.492947	1120.360403	0.5899492008	0.8194807263
28	1660.802885	1097.147722	0.568157781	0.8251458975
29	1637.301426	1077.153552	0.5492072424	0.8300594868
30	1614.623763	1057.159897	0.5314468405	0.8347344533
31	1594.473211	1038.673072	0.5127663747	0.8388337506
32	1575.580884	1022.334529	0.4987872341	0.8426303239
33	1558.70468	1007.574147	0.4856049168	0.8459834737
34	1521.1504	979.3332302	0.4669219524	0.8533155904
35	1487.120128	955.5568988	0.4533553303	0.8598052505
36	1451.56545	931.483973	0.4411316693	0.8664287808
37	1418.384914	908.9192429	0.4296241076	0.8724654506
38	1391.272683	887.4359891	0.4152274863	0.8772944629
39	1363.450785	868.0619485	0.40497232	0.8821529874
40	1336.575505	849.562272	0.3952775823	0.8867530172
41	1313.567077	830.6497808	0.3828746259	0.8906184295
42	1290.759747	814.2287269	0.3734469485	0.8943838162
43	1271.056909	798.440636	0.3625390698	0.8975835693
44	1253.764895	785.1687571	0.3539296637	0.9003512498
45	1236.31439	772.0935066	0.345425161	0.9031058642
46	1219.606902	758.8420063	0.3355366229	0.9057070133
47	1203.620532	745.114192	0.3245508247	0.9081627607
48	1188.905416	732.0578493	0.3139561063	0.910394585
49	1163.493095	712.6968887	0.3042395176	0.914184198
50	1139.536129	697.2023813	0.2976485355	0.9176818043
51	1117.099484	681.9700509	0.2907568721	0.920891464
52	1095.488218	664.0380722	0.2802085557	0.9239227042
53	1074.834024	648.2845492	0.2719795379	0.9267643642
54	1056.12871	632.4276538	0.2624385017	0.9292912203
55	1039.771843	621.7944434	0.2583551514	0.9314644741
56	1021.723045	610.4025613	0.2535009557	0.9338231603
57	1006.431212	597.2774952	0.2449497517	0.9357892358
58	992.9025375	586.0915921	0.2383773999	0.9375039044
59	979.761108	577.4229086	0.2344020528	0.9391472741
60	963.6817778	567.5843179	0.2296223376	0.9411282509
61	949.0960701	559.0852192	0.2257708397	0.9428968593
62	935.7472988	550.5718454	0.2217175628	0.9444918428
63	922.8406323	540.4955424	0.2149079196	0.9460125194
64	913.081984	532.7965005	0.2090431756	0.9471482718
65	901.8393344	526.0484658	0.2060655202	0.9484417709
66	891.6058886	520.1394097	0.2036276728	0.9496052261
67	882.551166	514.8193992	0.2009205943	0.950623599
68	873.5659224	509.7527638	0.1990599604	0.9516238822
69	865.8098058	505.0018491	0.1971995556	0.9524791013
70	857.4296944	497.8319621	0.1920594344	0.9533945522
71	848.3620389	492.0751345	0.1892942967	0.9543750817
72	839.6475686	485.0290974	0.1843671864	0.9553075962
73	830.4268752	478.5530802	0.1811697612	0.9562837967
74	822.0313787	472.5634263	0.1769816039	0.9571632576
75	814.4639405	466.955713	0.172828399	0.9579483184
76	804.3984757	459.8205033	0.169321886	0.9589812782
77	795.8574459	454.9176771	0.1680146615	0.9598477199
78	788.3865755	450.4259812	0.1667236063	0.9605980164
79	781.279953	445.1450935	0.1638274895	0.9613051643
80	774.8656231	441.164778	0.1625917799	0.9619379274
81	767.985147	436.8579114	0.1606790883	0.9626108763
82	761.2572452	432.0391757	0.1579218415	0.9632630986
83	756.0191046	429.0052157	0.1568995816	0.9637669256
84	750.2242443	424.7286146	0.1545223355	0.9643202474
85	745.2058833	421.591531	0.1533851565	0.9647959852
86	739.063691	416.7797608	0.1502351628	0.965373916
87	733.8085907	414.0563143	0.1495730974	0.9658645818
88	729.3048442	410.5282525	0.1470115808	0.9662823078
89	725.4314764	408.5065834	0.1465287301	0.9666395088
90	721.6089986	406.6296665	0.1462020658	0.9669901519
91	717.3266863	403.7309614	0.1443890236	0.9673807763
92	713.4608951	400.4893173	0.1420851271	0.9677314096
93	709.2779571	397.9970743	0.1412583742	0.9681086744
94	704.8668639	395.5762954	0.1403433082	0.9685041137
95	700.1916529	393.0074288	0.1394922653	0.9689205372
96	697.4316112	390.4173658	0.1371397433	0.9691650747
97	693.7562814	387.6210776	0.1350609848	0.9694892066
98	690.425164	385.3822536	0.1337267017	0.9697815024
99	687.8059615	383.4247455	0.1321552052	0.9700103418
