iter	Passed	Remaining
0	19	1895
1	40	1989
2	59	1936
3	81	1959
4	100	1908
5	122	1913
6	143	1909
7	166	1911
8	187	1898
9	209	1885
10	230	1865
11	251	1845
12	275	1840
13	296	1824
14	318	1802
15	339	1780
16	361	1763
17	382	1741
18	403	1718
19	428	1715
20	449	1692
21	472	1674
22	494	1655
23	515	1631
24	536	1608
25	557	1587
26	578	1564
27	602	1549
28	623	1527
29	648	1513
30	670	1491
31	690	1468
32	712	1446
33	733	1423
34	755	1402
35	778	1383
36	799	1361
37	820	1339
38	841	1316
39	862	1293
40	883	1271
41	907	1252
42	928	1231
43	949	1208
44	970	1186
45	993	1165
46	1014	1143
47	1035	1121
48	1056	1099
49	1078	1078
50	1099	1056
51	1121	1034
52	1142	1013
53	1163	991
54	1187	971
55	1208	949
56	1232	929
57	1253	907
58	1275	886
59	1296	864
60	1317	842
61	1338	820
62	1359	798
63	1379	776
64	1401	754
65	1426	735
66	1448	713
67	1470	691
68	1491	670
69	1512	648
70	1535	627
71	1557	605
72	1579	584
73	1601	562
74	1623	541
75	1649	520
76	1677	501
77	1699	479
78	1720	457
79	1750	437
80	1772	415
81	1793	393
82	1815	371
83	1836	349
84	1858	327
85	1879	306
86	1907	285
87	1929	263
88	1950	241
89	1972	219
90	1995	197
91	2017	175
92	2038	153
93	2059	131
94	2080	109
95	2101	87
96	2122	65
97	2143	43
98	2166	21
99	2188	0
